Type,Age,Gender,Vaccinated,Spayed/Neutered,AdoptionStory,Extracted_Temperaments
Cat,Kitten,Male,No,No,rescued,"energetic, playful"
Dog,Puppy,Female,Yes,No,adopted,active
Dog,Puppy,Male,No,No,adopted,"cute, playful, cute, loving"
Cat,Kitten,Female,No,No,adopted,active
Cat,Adult,Female,Not Sure,Not Sure,rescued,"gentle, cute, soft"
Cat,Kitten,Female,Yes,No,adopted,"playful, active"
Dog,Puppy,Male,Yes,No,rescued,"active, loving"
Dog,Adult,Male,Not Sure,Not Sure,rescued,"friendly, loyal"
Cat,Kitten,Female,Yes,Yes,adopted,friendly
Dog,Puppy,Female,No,Yes,adopted,active
Dog,Adult,Female,No,Yes,rescued,loving
Dog,Puppy,Female,Yes,Yes,rescued,friendly
Cat,Adult,Male,Yes,Yes,adopted,soft
Cat,Kitten,Male,No,No,adopted,"cute, easy, playful"
Dog,Adult,Male,Yes,No,adopted,active
Dog,Adult,Male,No,No,rescued,"loving, friendly"
Cat,Kitten,Female,No,No,adopted,"loving, easy"
Dog,Puppy,Male,Yes,Yes,adopted,"friendly, active, playful"
Dog,Adult,Male,No,Yes,adopted,sweet
Cat,Kitten,Male,Yes,No,adopted,"cute, active"
Dog,Adult,Female,Yes,Yes,adopted,"calm, gentle, friendly, loyal, obedient"
Cat,Kitten,Male,Yes,Yes,adopted,friendly
Dog,Puppy,Male,Yes,No,adopted,loving
Dog,Puppy,Female,Not Sure,Not Sure,adopted,"active, obedient, cute"
Cat,Kitten,Male,No,No,rescued,"sweet, friendly"
Dog,Adult,Female,Yes,Yes,adopted,"friendly, easy"
Dog,Puppy,Male,No,No,adopted,active
Dog,Puppy,Male,Yes,Not Sure,adopted,friendly
Cat,Kitten,Female,No,No,adopted,loving
Cat,Kitten,Female,No,No,adopted,soft
Dog,Adult,Male,Yes,Yes,adopted,friendly
Dog,Puppy,Male,Yes,No,rescued,active
Dog,Puppy,Female,No,No,rescued,"active, friendly"
Dog,Adult,Female,Yes,Yes,adopted,"active, playful, obedient"
Dog,Puppy,Female,Yes,No,rescued,cute
Dog,Puppy,Male,No,No,adopted,calm
Dog,Puppy,Male,Not Sure,No,adopted,sweet
Cat,Kitten,Female,No,No,adopted,"active, playful"
Dog,Adult,Female,Yes,Yes,adopted,"fast, wise, smart"
Dog,Puppy,Male,Yes,No,adopted,"cute, playful"
Dog,Puppy,Female,Not Sure,Yes,adopted,"cute, obedient, friendly, playful, active"
Dog,Adult,Female,Not Sure,Yes,rescued,"protective, friendly"
Dog,Adult,Male,Yes,Yes,adopted,obedient
Cat,Kitten,Female,Yes,No,adopted,"sweet, warm"
Dog,Puppy,Female,No,No,adopted,"playful, sweet"
Cat,Kitten,Female,No,No,adopted,"cute, active, playful"
Dog,Puppy,Female,Yes,No,adopted,active
Cat,Kitten,Female,Yes,No,rescued,"active, playful, affectionate, independent"
Dog,Senior,Male,Not Sure,Not Sure,rescued,"warm, obedient, easy, precious, loving"
Dog,Puppy,Female,No,No,adopted,"playful, loving"
Dog,Adult,Female,Yes,No,adopted,friendly
Cat,Adult,Male,Yes,No,adopted,friendly
Dog,Adult,Male,Yes,Yes,adopted,"loving, sweet, funny, loving, affectionate, sweet, fast, loving"
Dog,Adult,Male,Yes,No,adopted,smart
Cat,Kitten,Male,No,No,rescued,"playful, active"
Dog,Puppy,Male,Yes,Yes,rescued,gentle
Dog,Adult,Female,Not Sure,Not Sure,rescued,"loving, loving"
Dog,Puppy,Male,Yes,No,rescued,"sweet, friendly, playful"
Dog,Puppy,Female,No,No,adopted,"affectionate, warm, cute, loving"
Cat,Kitten,Male,Yes,No,adopted,"playful, energetic"
Cat,Adult,Male,No,No,adopted,energetic
Dog,Puppy,Male,No,No,adopted,cute
Dog,Adult,Female,Yes,Yes,adopted,"gentle, playful"
Dog,Adult,Female,Yes,Yes,rescued,"sweet, calm, gentle, loyal"
Cat,Adult,Female,Not Sure,Yes,adopted,"friendly, playful, gentle"
Dog,Adult,Male,Yes,Yes,rescued,loving
Cat,Adult,Female,Not Sure,Yes,adopted,soft
Cat,Adult,Male,No,No,adopted,sweet
Cat,Kitten,Female,Yes,No,adopted,active
Dog,Adult,Female,Not Sure,Not Sure,rescued,friendly
Dog,Adult,Male,Yes,Yes,adopted,energetic
Cat,Kitten,Male,Not Sure,No,adopted,"active, playful"
Dog,Adult,Male,Yes,Yes,rescued,"loving, warm, smart, warm"
Cat,Kitten,Male,No,No,rescued,loving
Cat,Kitten,Female,No,No,adopted,playful
Dog,Puppy,Male,Yes,No,adopted,sweet
Cat,Adult,Male,Yes,Yes,rescued,independent
Dog,Adult,Male,Yes,No,adopted,"playful, obedient"
Dog,Adult,Male,Not Sure,No,rescued,active
Dog,Adult,Female,Yes,No,rescued,"tender, loving"
Dog,Puppy,Male,No,No,adopted,"cute, sweet"
Dog,Adult,Female,Yes,Yes,adopted,"friendly, independent"
Dog,Puppy,Female,No,No,adopted,playful
Dog,Puppy,Female,No,No,adopted,playful
Cat,Kitten,Male,Yes,Not Sure,adopted,"playful, active"
Dog,Adult,Female,Yes,Not Sure,adopted,"cute, loving, gentle"
Cat,Kitten,Male,Not Sure,Not Sure,rescued,cute
Dog,Puppy,Male,Yes,Not Sure,adopted,playful
Cat,Adult,Female,No,No,adopted,playful
Dog,Puppy,Male,Yes,Yes,adopted,friendly
Cat,Kitten,Male,Yes,No,rescued,"active, loving, playful, friendly, friendly"
Cat,Kitten,Female,Yes,Yes,adopted,"sweet, loving"
Dog,Puppy,Female,No,No,rescued,"cute, cute, playful, soft"
Dog,Puppy,Male,No,No,adopted,loyal
Dog,Adult,Male,Yes,Yes,rescued,"loving, loving"
Cat,Adult,Female,Yes,Yes,rescued,"friendly, affectionate, friendly"
Dog,Puppy,Female,No,No,adopted,sweet
Cat,Kitten,Male,No,No,adopted,active
Cat,Kitten,Female,No,No,adopted,"sweet, sweet"
Cat,Kitten,Male,Yes,Not Sure,adopted,"playful, curious"
Dog,Adult,Female,Yes,No,adopted,"cute, active"
Cat,Kitten,Female,Not Sure,Not Sure,rescued,"cute, loving"
Cat,Adult,Female,Yes,No,rescued,"loving, playful"
Cat,Kitten,Male,Not Sure,Not Sure,rescued,active
Dog,Puppy,Female,Yes,No,adopted,playful
Dog,Puppy,Female,Yes,No,adopted,"friendly, playful, cute"
Cat,Kitten,Female,No,No,adopted,"independent, loving"
Cat,Kitten,Female,Yes,No,adopted,playful
Cat,Kitten,Female,Yes,Yes,rescued,"playful, affectionate, friendly"
Cat,Kitten,Female,Not Sure,Not Sure,adopted,"cute, friendly, active"
Cat,Kitten,Female,Yes,Yes,rescued,"fresh, precious"
Dog,Adult,Female,Yes,Yes,adopted,loving
Dog,Puppy,Male,No,No,adopted,active
Dog,Puppy,Female,No,No,adopted,"friendly, funny"
Dog,Puppy,Male,Yes,No,rescued,"friendly, cute"
Dog,Puppy,Female,Yes,No,rescued,"active, energetic"
Cat,Kitten,Male,No,No,adopted,"active, loving"
Dog,Adult,Male,Yes,Yes,adopted,playful
Dog,Puppy,Female,Yes,No,rescued,sweet
Dog,Adult,Female,Not Sure,Yes,adopted,"affectionate, cute, sweet, loving"
Cat,Kitten,Female,No,No,rescued,"calm, curious"
Cat,Kitten,Male,No,No,rescued,playful
Dog,Puppy,Female,No,No,adopted,active
Cat,Adult,Male,Yes,No,adopted,"loving, obedient"
Dog,Adult,Female,Yes,Yes,rescued,"loyal, obedient"
Dog,Adult,Male,Yes,Yes,adopted,"obedient, playful, gentle"
Cat,Kitten,Male,No,No,adopted,active
Dog,Puppy,Female,Yes,No,rescued,"loving, playful"
Cat,Kitten,Male,Yes,No,adopted,friendly
Dog,Puppy,Female,No,No,adopted,active
Cat,Adult,Female,Yes,Yes,adopted,"active, smart"
Cat,Adult,Female,Yes,Yes,adopted,"sweet, curious, friendly, funny"
Dog,Adult,Female,Yes,Yes,adopted,active
Dog,Puppy,Male,Yes,No,adopted,playful
Dog,Puppy,Female,No,Yes,adopted,friendly
Dog,Puppy,Female,No,No,rescued,"loving, smart, easy, friendly, loving, obedient, obedient, loyal"
Cat,Adult,Male,Yes,Yes,adopted,active
Dog,Puppy,Female,No,No,adopted,"cute, friendly"
Dog,Adult,Female,Not Sure,Yes,adopted,loving
Dog,Puppy,Female,Yes,Yes,adopted,"playful, loyal"
Dog,Puppy,Male,No,No,adopted,"cute, calm"
Cat,Adult,Male,Not Sure,Not Sure,adopted,cute
Dog,Puppy,Male,Yes,No,rescued,cute
Cat,Kitten,Female,Yes,Yes,adopted,smart
Dog,Adult,Male,Not Sure,Not Sure,adopted,smart
Dog,Adult,Female,Yes,Yes,adopted,"sweet, sweet"
Dog,Puppy,Female,Yes,No,adopted,"sweet, friendly, playful, sweet"
Dog,Puppy,Female,Yes,Yes,rescued,cute
Cat,Kitten,Male,No,No,adopted,affectionate
Cat,Kitten,Female,No,No,adopted,"active, cute"
Dog,Puppy,Male,No,No,adopted,cute
Dog,Puppy,Female,Yes,No,rescued,calm
Dog,Puppy,Female,Yes,No,adopted,calm
Cat,Kitten,Female,No,No,adopted,sweet
Cat,Kitten,Male,Yes,Yes,adopted,"curious, fast, smart, friendly, warm"
Dog,Puppy,Male,Yes,No,adopted,active
Cat,Kitten,Male,Not Sure,Not Sure,adopted,friendly
Cat,Kitten,Female,No,No,rescued,affectionate
Cat,Kitten,Female,No,No,adopted,precious
Cat,Kitten,Male,No,No,rescued,active
Cat,Kitten,Female,No,No,adopted,"loving, loving, active, playful"
Cat,Kitten,Female,Yes,Yes,adopted,sweet
Dog,Puppy,Male,Yes,No,rescued,smart
Dog,Puppy,Female,Not Sure,No,adopted,affectionate
Cat,Kitten,Female,Not Sure,No,adopted,cute
